,Price,Year,Mileage,City,State,Make,Model
77054,32888,2016,27353,Delray Beach, FL,Cadillac,SRXLuxury
49837,42991,2017,13443,Charlotte, NC,BMW,X3sDrive28i
444973,6500,2010,47838,Columbus, GA,Hyundai,Accent4dr
175144,44888,2017,20988,Houston, TX,Chevrolet,TahoeLT
453550,16200,2013,64588,Dickson, TN,Hyundai,Genesis
246043,10800,2015,29883,Maumee, OH,Ford,FocusSedan
673554,16897,2016,30897,Bluffton, SC,Nissan,FrontierKing
247791,9991,2012,33786,Ft. Worth, TX,Ford,Focus5dr
607838,10995,1998,21000,Conroe, TX,Mercedes-Benz,SL-ClassSL500
188285,9998,2013,52462,Columbia, PA,Chrysler,200Sedan
434842,11293,2014,21757,Akron, OH,Hyundai,ElantraSE
772,8250,2009,112686,San Antonio, TX,Acura,TSX4dr
153998,21199,2009,106772,Madison, TN,Chevrolet,Silverado
300749,9950,2007,164342,Raleigh, NC,Ford,F-1504WD
511114,38962,2016,14825,Jacksonville, FL,Jeep,Grand
421419,24992,2015,47225,Miami, FL,Honda,PilotEX-L
39286,15592,2010,89144,Fremont, CA,BMW,5
388470,16995,2014,17724,Duluth, GA,Honda,Accord
768876,16600,2015,34432,Louisville, KY,Toyota,PriusTwo
749337,15491,2016,17245,Oneida, NY,Toyota,CorollaLE
649818,10789,2016,42449,GASTONIA, NC,Nissan,VersaSV
429008,31995,2015,45617,Oak Lawn, IL,Honda,OdysseyTouring
531749,19431,2017,22522,Victorville, CA,Kia,SportageAWD
758986,14900,2015,49086,Boise, ID,Toyota,CamryXLE
251839,16499,2016,39357,Tulsa, OK,Ford,FusionTitanium
653420,11985,2011,80167,San Jose, CA,Nissan,Maxima4dr
575152,24392,2015,38703,Wichita Falls, TX,Lincoln,MKCFWD
204584,15385,2014,59736,Oak Ridge, TN,Dodge,ChargerSE
550753,30888,2015,24599,Metairie, LA,Land,Rover
373496,30000,2016,41529,Fishers, IN,GMC,AcadiaFWD
797131,10500,2008,139081,Portsmouth, VA,Toyota,4RunnerRWD
783997,14991,2017,16046,San Antonio, TX,Toyota,Yaris
592633,26995,2016,10122,Fife, WA,Mazda,CX-5Grand
289760,21477,2015,76087,Dearborn, MI,Ford,ExplorerXLT
77293,10981,2010,109987,Fayetteville, NC,Cadillac,CTS
573378,48998,2016,8518,Sharon, MA,Lexus,RX
3107,18999,2013,44538,Maple Shade, NJ,Acura,RDXAWD
95082,10987,2013,75954,Fort Worth, TX,Chevrolet,MalibuECO
